Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","12pF","C_0402_1005Metric",54.500000,-67.750000,-90.000000,top
"C2","12pF","C_0402_1005Metric",56.000000,-73.750000,90.000000,top
"C3","100nF","C_0402_1005Metric",58.500000,-73.750000,-90.000000,top
"C4","1uF","C_0402_1005Metric",70.520000,-74.250000,0.000000,top
"C5","100nF","C_0402_1005Metric",72.500000,-69.750000,0.000000,top
"C6","1uF","C_0402_1005Metric",70.480000,-77.250000,0.000000,top
"C7","100nF","C_0402_1005Metric",69.000000,-65.770000,90.000000,top
"C8","100nF","C_0402_1005Metric",104.000000,-74.020000,90.000000,top
"C9","100nF","C_0402_1005Metric",58.500000,-71.750000,180.000000,top
"C10","100nF","C_0402_1005Metric",71.520000,-71.250000,0.000000,top
"C11","100nF","C_0402_1005Metric",64.250000,-76.250000,-90.000000,top
"C12","100nF","C_0402_1005Metric",64.000000,-64.000000,90.000000,top
"C13","100nF","C_0402_1005Metric",70.520000,-76.250000,0.000000,top
"C14","10uF","C_1206_3216Metric",90.775000,-68.500000,0.000000,top
"C15","10uF","C_1206_3216Metric",99.500000,-61.500000,0.000000,top
"C16","100nf","C_0402_1005Metric",70.500000,-75.250000,0.000000,top
"R1","27r","R_0805_2012Metric",74.500000,-71.750000,180.000000,top
"R2","27r","R_0805_2012Metric",74.587500,-73.750000,180.000000,top
"R3","1k","R_0402_1005Metric",104.000000,-67.530000,90.000000,top
"R5","5.1k","R_0402_1005Metric",84.010000,-71.641000,90.000000,top
"SWD","Conn_01x03_Socket","SWD-Pads",58.750000,-78.946500,0.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",65.200000,-71.187500,-90.000000,top
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",100.500000,-71.020000,180.000000,top
"U3","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",92.750000,-63.750000,180.000000,top
"USBC1","~","USB-C-SMD_C67380",81.760000,-64.445500,180.000000,top
"Y1","XYDBPCNANF-12MHZ","OSC-SMD_4P-L2.5-W2.0-BL",55.250000,-70.800000,90.000000,top
